2R:14185001-16425000	2R:18297496..20537495	 R6:  
2R:18295001-18525000	2R:22407496..22637495	 R6:  
2R:20485001-20685000	2R:24597478..24797477	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:4700001-12135000	3R:8874279..16309278	 R6:  
2L:1-21515000	2L:1..21515000	 R6: includes 1 area of change
2L:21445001-23011544	2L:?..?	 R6: in area of change
X:1-195000	X:103614..300967	 R6: includes 105 area(s) of change
X:2305001-2750000	X:2410968..2855967	 R6:  
X:6700001-9280000	X:6805968..9385967	 R6:  
X:11320001-11545000	X:11425968..11650967	 R6:  
X:12495001-12965000	X:12600968..13070967	 R6:  
X:14115001-14505000	X:14220968..14610967	 R6:  
X:21440001-21780000	X:21568974..22378167	 R6: includes 16 area(s) of change
X:22230001-22422827	X:22828165..23020991	 R6:  
3L:1-2365000	3L:1..2365000	 R6:  
3L:8750001-9915000	3L:8756901..9921900	 R6:  
3L:9835001-15105000	3L:9841901..15111900	 R6:  
3L:22865001-24543557	3L:22871901..24550457	 R6: includes 2 area(s) of change
2R:1-2110000	2R:4112496..6222495	 R6: includes 2 area(s) of change
2R:2060001-2310000	2R:6172496..6422495	 R6:  
2R:2295001-21146708	2R:6407496..25259185	 R6: includes 2 area(s) of change
3R:220001-440000	3R:4394279..4614278	 R6:  
3R:6900001-7100000	3R:11074279..11274278	 R6:  
3R:15490001-16145000	3R:19664279..20319278	 R6:  
3R:16100001-16495000	3R:20274279..20669278	 R6:  
3R:16495001-17190000	3R:20669279..21364278	 R6:  
3R:19255001-19515000	3R:23429279..23689278	 R6:  
3R:21600001-24010000	3R:25774279..28184278	 R6:  
3R:23975001-24555000	3R:28149279..28729278	 R6:  
3R:24470001-24895000	3R:28644279..29069278	 R6:  
3R:25130001-25765000	3R:29304279..29939278	 R6:  
3R:25670001-26615000	3R:29844279..30789278	 R6:  
3R:26540001-26990000	3R:30714279..31164278	 R6:  
2L:1-3870000	2L:1..3870000	 R6:  
2L:4800001-7695000	2L:4800001..7695000	 R6:  
2L:9265001-13835000	2L:9265001..13835000	 R6:  
2L:13745001-21505000	2L:13745001..21505000	 R6: includes 1 area of change
2L:21445001-23011544	2L:?..?	 R6: in area of change
X:1-115000	X:?..?	 R6: in area of change
X:11230001-11550000	X:11335968..11655967	 R6:  
X:21500001-21780000	X:21628974..22378167	 R6: includes 16 area(s) of change
X:22190001-22422827	X:22788165..23020991	 R6:  
3L:5215001-6550000	3L:5221901..6556900	 R6:  
3L:6800001-8940000	3L:6806901..8946900	 R6:  
3L:9685001-13920000	3L:9691901..13926900	 R6:  
3L:13830001-14530000	3L:13836901..14536900	 R6:  
3L:14450001-15650000	3L:14456901..15656900	 R6:  
3L:16330001-17210000	3L:16336901..17216900	 R6:  
3L:22950001-24543557	3L:22956901..24550457	 R6: includes 2 area(s) of change
2R:1-9275000	2R:4112496..13387495	 R6: includes 2 area(s) of change
2R:9315001-19210000	2R:13427496..23322477	 R6: includes 2 area(s) of change
2R:19155001-21146708	2R:23267478..25259185	 R6:  
3R:1-100000	3R:4174279..4274278	 R6:  
3R:19255001-19515000	3R:23429279..23689278	 R6:  
2L:1-125000	2L:1..125000	 R6:  
2L:14605001-21510000	2L:14605001..21510000	 R6: includes 1 area of change
2L:21445001-23011544	2L:?..?	 R6: in area of change
X:1-140000	X:103614..245967	 R6: includes 105 area(s) of change
X:140001-410000	X:245968..515967	 R6:  
X:6425001-6725000	X:6530968..6830967	 R6:  
X:11325001-11550000	X:11430968..11655967	 R6:  
X:14220001-14505000	X:14325968..14610967	 R6:  
X:14705001-14905000	X:14810968..15010967	 R6:  
X:21455001-21780000	X:21583974..22378167	 R6: includes 16 area(s) of change
X:22210001-22422827	X:22808165..23020991	 R6:  
3L:1-3860000	3L:1..3860000	 R6:  
3L:3780001-5220000	3L:3780001..5226900	 R6: includes 1 area of change
3L:5265001-24543557	3L:5271901..24550457	 R6: includes 2 area(s) of change
2R:1-5985000	2R:4112496..10097495	 R6: includes 2 area(s) of change
2R:6890001-8400000	2R:11002496..12512495	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:1-27905000	3R:4174279..32079278	 R6:  
2L:1-220000	2L:1..220000	 R6:  
2L:795001-2185000	2L:795001..2185000	 R6:  
2L:2095001-6775000	2L:2095001..6775000	 R6:  
2L:12030001-15100000	2L:12030001..15100000	 R6:  
2L:19815001-20425000	2L:19815001..20425000	 R6:  
2L:21280001-21515000	2L:21280001..21515000	 R6: includes 1 area of change
2L:21445001-22715000	2L:21445001..22822268	 R6: includes 2 area(s) of change
2L:22790001-23011544	2L:?..?	 R6: in area of change
X:1-155000	X:103614..260967	 R6: includes 105 area(s) of change
X:60001-700000	X:163614..805967	 R6: includes 105 area(s) of change
X:650001-1850000	X:755968..1955967	 R6:  
X:2155001-4555000	X:2260968..4660967	 R6:  
X:4480001-5615000	X:4585968..5720967	 R6: includes 1 area of change
X:5585001-6490000	X:5690968..6595967	 R6:  
X:6425001-7590000	X:6530968..7695967	 R6:  
X:7610001-9195000	X:7715968..9300967	 R6:  
X:9165001-10645000	X:9270968..10750967	 R6:  
X:10550001-10925000	X:10655968..11030967	 R6:  
X:11840001-15275000	X:11945968..15380967	 R6:  
X:15590001-16340000	X:15695968..16445967	 R6:  
X:18765001-19415000	X:18870968..19520967	 R6:  
X:19330001-20245000	X:19435968..20373973	 R6: includes 24 area(s) of change
X:20150001-21170000	X:20278975..21298973	 R6: includes 1 area of change
X:21120001-21780000	X:21248974..22378167	 R6: includes 16 area(s) of change
X:21685001-22422827	X:22261106..23020991	 R6: includes 9 area(s) of change
3L:1-24543557	3L:1..24550457	 R6: includes 3 area(s) of change
2R:1-1080000	2R:4112496..5192495	 R6: includes 2 area(s) of change
2R:985001-1515000	2R:5097496..5627495	 R6:  
2R:7045001-8540000	2R:11157496..12652495	 R6:  
2R:8675001-9105000	2R:12787496..13217495	 R6:  
2R:11265001-11965000	2R:15377496..16077495	 R6:  
2R:20440001-20710000	2R:24552478..24822477	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:1-1515000	3R:4174279..5689278	 R6:  
3R:1680001-25505000	3R:5854279..29679278	 R6:  
3R:25685001-27905000	3R:29859279..32079278	 R6:  
2L:1-21515000	2L:1..21515000	 R6: includes 1 area of change
2L:21440001-23011544	2L:?..?	 R6: in area of change
X:1-110000	X:103614..213032	 R6: includes 68 area(s) of change
X:165001-490000	X:270968..595967	 R6:  
X:6175001-6505000	X:6280968..6610967	 R6:  
X:10580001-10820000	X:10685968..10925967	 R6:  
X:11265001-11550000	X:11370968..11655967	 R6:  
X:21230001-21500000	X:21358974..21628973	 R6:  
X:21425001-21780000	X:21553974..22378167	 R6: includes 16 area(s) of change
X:21705001-21930000	X:?..?	 R6: in area of change
X:22160001-22422827	X:22758165..23020991	 R6:  
3L:23280001-24425000	3L:23286901..24431900	 R6:  
3L:24365001-24543557	3L:24371901..24550457	 R6: includes 2 area(s) of change
2R:1-7790000	2R:4112496..11902495	 R6: includes 2 area(s) of change
2R:7730001-7980000	2R:11842496..12092495	 R6:  
2R:9745001-13095000	2R:13857496..17207495	 R6:  
2R:20990001-21146708	2R:25102478..25259185	 R6:  
3R:80001-6005000	3R:4254279..10179278	 R6:  
3R:6925001-27905000	3R:11099279..32079278	 R6:  
2L:1-150000	2L:1..150000	 R6:  
2L:1675001-1915000	2L:1675001..1915000	 R6:  
2L:21315001-21515000	2L:21315001..21515000	 R6: includes 1 area of change
2L:22270001-23011544	2L:?..?	 R6: in area of change
X:1-115000	X:?..?	 R6: in area of change
X:15750001-15980000	X:15855968..16085967	 R6:  
X:19335001-19845000	X:19440968..19950967	 R6:  
X:20295001-22422827	X:20423974..23020991	 R6: includes 22 area(s) of change
3L:1-24450000	3L:1..24456900	 R6: includes 1 area of change
3L:24355001-24543557	3L:24361901..24550457	 R6: includes 2 area(s) of change
2R:1-860000	2R:4112496..4972495	 R6: includes 2 area(s) of change
2R:2200001-2410000	2R:6312496..6522495	 R6:  
2R:2595001-2795000	2R:6707496..6907495	 R6:  
2R:8850001-9100000	2R:12962496..13212495	 R6:  
2R:11290001-11490000	2R:15402496..15602495	 R6:  
2R:18430001-20785000	2R:22542496..24897477	 R6: includes 1 area of change
